Designator,Mid X,Mid Y,Layer,Rotation
C1,188.214001mm,-119.512001mm,T,180
C2,188.214001mm,-127.132001mm,T,180
D1,182.499001mm,-121.417001mm,T,270
D2,182.499001mm,-125.227001mm,T,90
R1,130.746501mm,-119.829501mm,T,90
R2,135.826501mm,-119.829501mm,T,90
R3,138.366501mm,-119.829501mm,T,90
R4,133.286501mm,-119.829501mm,T,90
R5,163.766501mm,-119.829501mm,T,90
R6,171.386501mm,-119.829501mm,T,90
R7,166.306501mm,-119.829501mm,T,90
R8,168.846501mm,-119.829501mm,T,90
R9,173.926501mm,-119.829501mm,T,90
R10,159.956501mm,-58.869501mm,T,90
R11,157.416501mm,-58.869501mm,T,90
R12,152.336501mm,-58.869501mm,T,90
R13,149.796501mm,-58.869501mm,T,90
R14,128.206501mm,-58.869501mm,T,270
R15,130.746501mm,-58.869501mm,T,270
R16,188.214001mm,-123.322001mm,T,180
R21,199.326501mm,-119.512001mm,T,270
R22,199.326501mm,-127.132001mm,T,270
U1,194.246501mm,-119.512001mm,T,-90
U2,194.246501mm,-127.132001mm,T,-90
